rank,account_id,segment_name,arr,rsam_score,risk_adj_clv,propensity_score,churn_prob_6m,composite_score,final_tier,action_tags,shap_driver_1,shap_driver_2,shap_driver_3,contract_end_days,health_score,nps_score
1,ACC-08077,High-Value Engaged,306403.01,344479.23,1269654.31,0.6741,0.12,0.763366,Tier 2 — Prioritize,💰 High Headroom,,,,285,66.91,7
2,ACC-05346,High-Value Engaged,152377.66,330722.71,1119504.61,0.6829,0.12,0.753776,Tier 2 — Prioritize,📅 Renewal Window | 💰 High Headroom,,,,42,55.1,6
3,ACC-09871,High-Value Engaged,214212.02,336203.88,1453097.98,0.489,0.12,0.747091,Tier 2 — Prioritize,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter,,,,40,65.08,10
4,ACC-06692,High-Value Engaged,249881.28,284434.22,1199003.93,0.6418,0.12,0.721525,Tier 2 — Prioritize,📅 Renewal Window | 💰 High Headroom | ⭐ Promoter | ✅ Ready to Expand,,,,65,75.09,9
5,ACC-08184,High-Value Engaged,324522.27,277526.94,1589409.97,0.569,0.12,0.714074,Tier 2 — Prioritize,💰 High Headroom | ⭐ Promoter,logins_stddev,arr,tenure_months,123,65.72,10
6,ACC-04338,High-Value Engaged,232031.43,269212.95,1205659.84,0.6689,0.12,0.700867,Tier 2 — Prioritize,📅 Renewal Window | 💰 High Headroom | ➕ Cross-Sell,,,,51,56.39,6
7,ACC-08977,High-Value Engaged,325123.97,215854.76,1428183.85,0.7674,0.12,0.700447,Tier 2 — Prioritize,🔥 Hot Upsell | 💰 High Headroom,,,,360,65.41,7
8,ACC-09563,High-Value Engaged,196548.41,292749.44,1004691.59,0.6265,0.12,0.687863,Tier 2 — Prioritize,💰 High Headroom | ⭐ Promoter | ✅ Ready to Expand,,,,357,82.28,10
9,ACC-03377,High-Value Engaged,188394.24,310070.2,1315946.12,0.5302,0.12,0.682192,Tier 2 — Prioritize,💰 High Headroom,,,,136,57.02,5
10,ACC-00099,High-Value Engaged,212404.69,266406.52,1102542.61,0.6474,0.12,0.67859,Tier 2 — Prioritize,📅 Renewal Window | 💰 High Headroom,,,,44,52.9,4
11,ACC-02815,High-Value Engaged,225986.57,288925.85,1238535.98,0.4992,0.12,0.657198,Tier 2 — Prioritize,💰 High Headroom,logins_stddev,users_per_login,arr_utilization,95,63.54,8
12,ACC-08853,High-Value Engaged,226223.8,300051.16,1134648.81,0.5885,0.12,0.655953,Tier 2 — Prioritize,💰 High Headroom | ➕ Cross-Sell,,,,210,48.58,0
13,ACC-04859,High-Value Engaged,354978.7,178398.97,1408117.02,0.6746,0.12,0.642381,Tier 3 — Develop,💰 High Headroom | ⭐ Promoter,,,,338,72.41,9
14,ACC-01206,High-Value Engaged,267140.34,265665.74,1320648.72,0.503,0.12,0.639284,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,51,45.24,2
15,ACC-08708,High-Value Engaged,169477.38,310642.8,985846.77,0.4973,0.12,0.631394,Tier 3 — Develop,💰 High Headroom,,,,216,61.34,8
16,ACC-05943,High-Value Engaged,206789.62,279655.14,1077312.95,0.4355,0.12,0.631104,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,31,55.16,7
17,ACC-06209,High-Value Engaged,167793.26,280780.29,1184234.15,0.4914,0.12,0.620146,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,117,50.47,8
18,ACC-04664,High-Value Engaged,229888.61,263565.23,1295480.84,0.459,0.12,0.615683,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,312,63.4,8
19,ACC-04352,Growth-Stage Expanding,44674.74,185852.09,608590.8,0.8258,0.12,0.605393,Tier 3 — Develop,🔥 Hot Upsell | 💰 High Headroom,,,,343,74.51,6
20,ACC-09642,High-Value Engaged,178638.49,284864.44,883745.59,0.4574,0.12,0.589979,Tier 3 — Develop,💰 High Headroom | ➕ Cross-Sell,,,,124,62.79,4
21,ACC-06727,High-Value Engaged,185330.18,222308.88,1052252.29,0.4901,0.12,0.589298,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom,,,,38,56.4,5
22,ACC-03453,High-Value Engaged,238723.57,246752.05,1281655.61,0.4592,0.12,0.585638,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ➕ Cross-Sell,,,,82,41.56,0
23,ACC-03401,High-Value Engaged,253632.48,195887.99,1140583.29,0.546,0.12,0.581884,Tier 3 — Develop,📅 Renewal Window | 💰 High Headroom | ➕ Cross-Sell,,,,45,50.09,1
24,ACC-00153,High-Value Engaged,325922.17,216379.15,1296461.72,0.5045,0.12,0.579286,Tier 3 — Develop,💰 High Headroom,,,,154,50.59,6
25,ACC-03879,High-Value Engaged,192515.0,232770.7,910678.49,0.5302,0.12,0.577255,Tier 3 — Develop,💰 High Headroom,,,,336,72.17,7
