account_id,segment_name,arr,arr_headroom,health_score,upsell_label,propensity_score,propensity_decile,priority_tier,shap_driver_1,shap_value_1,shap_driver_2,shap_value_2,shap_driver_3,shap_value_3,rank
ACC-04352,Growth-Stage Expanding,44674.74,455325.26,74.51,1,0.8258,10,Critical,,,,,,,1
ACC-04843,At-Risk Dormant,44704.44,105295.56,70.77,1,0.8258,10,Critical,contract_end_days,0.4033,num_products,0.2814,arr,0.2172,2
ACC-09350,Growth-Stage Expanding,50657.41,449342.58999999997,50.67,1,0.8258,10,Critical,,,,,,,3
ACC-08833,Growth-Stage Expanding,198330.72,301669.28,82.97,1,0.7674,10,Critical,,,,,,,4
ACC-08977,High-Value Engaged,325123.97,174876.03000000003,65.41,1,0.7674,10,Critical,,,,,,,5
ACC-07273,Growth-Stage Expanding,98574.69,401425.31,84.14,1,0.7674,10,Critical,,,,,,,6
ACC-08694,Growth-Stage Expanding,45291.99,454708.01,70.77,1,0.7674,10,Critical,num_products,0.3435,health_score,0.2961,arr,0.2906,7
ACC-00335,Loyal Mid-Market,35181.59,464818.41000000003,64.18,1,0.7674,10,Critical,,,,,,,8
ACC-09086,Loyal Mid-Market,51875.83,448124.17,70.15,1,0.7674,10,Critical,tenure_months,0.3361,health_score,0.2798,arr,0.2581,9
ACC-09843,At-Risk Dormant,53298.28,96701.72,63.31,1,0.7476,10,High,,,,,,,10
ACC-03307,High-Value Engaged,228368.26,271631.74,69.21,1,0.7397,10,High,arr_utilization,-0.4161,logins_stddev,0.3792,arr_per_tenure_month,0.3419,11
ACC-01094,At-Risk Dormant,19117.65,130882.35,62.25,1,0.7397,10,High,,,,,,,12
ACC-06860,Growth-Stage Expanding,52573.9,447426.1,53.5,1,0.7397,10,High,arr_utilization,0.2843,peak_feature_adoption,0.2735,arr,0.208,13
ACC-01004,At-Risk Dormant,56826.08,93173.92,75.49,1,0.7397,10,High,,,,,,,14
ACC-02419,Growth-Stage Expanding,53470.34,446529.66000000003,77.91,1,0.7397,10,High,,,,,,,15
ACC-00221,Loyal Mid-Market,53452.25,96547.75,77.04,1,0.7397,10,High,,,,,,,16
ACC-02896,Growth-Stage Expanding,83103.07,416896.93,70.86,1,0.7336,10,High,,,,,,,17
ACC-01630,At-Risk Dormant,16896.89,133103.11,37.79,1,0.7307,10,High,,,,,,,18
ACC-06042,Growth-Stage Expanding,81640.71,418359.29,77.16,1,0.7224,10,High,,,,,,,19
ACC-01125,At-Risk Dormant,81558.08,68441.92,42.59,1,0.7057,10,High,,,,,,,20
ACC-03877,Growth-Stage Expanding,61302.68,438697.32,75.69,1,0.6924,10,High,,,,,,,21
ACC-00731,At-Risk Dormant,10753.38,139246.62,79.66,1,0.6917,10,High,,,,,,,22
ACC-02754,Growth-Stage Expanding,50640.65,449359.35,65.03,1,0.6829,10,High,,,,,,,23
ACC-09093,Growth-Stage Expanding,132958.01,367041.99,76.36,1,0.6829,10,High,,,,,,,24
ACC-05436,Growth-Stage Expanding,31369.54,468630.46,58.86,1,0.6829,10,High,,,,,,,25
ACC-03495,Growth-Stage Expanding,108654.24,391345.76,66.11,1,0.6829,10,High,,,,,,,26
ACC-01978,Loyal Mid-Market,613.62,19386.38,82.42,1,0.6829,10,High,,,,,,,27
ACC-01647,Early-Stage Potential,44354.29,105645.70999999999,27.02,1,0.6829,10,High,,,,,,,28
ACC-05346,High-Value Engaged,152377.66,347622.33999999997,55.1,1,0.6829,10,High,,,,,,,29
ACC-05836,Growth-Stage Expanding,59585.52,440414.48,60.75,1,0.6829,10,High,,,,,,,30
ACC-02023,Loyal Mid-Market,35529.27,464470.73,75.96,1,0.6814,10,High,,,,,,,31
ACC-09123,At-Risk Dormant,984.96,19015.04,61.52,1,0.6814,10,High,,,,,,,32
ACC-07375,At-Risk Dormant,11579.21,28420.79,61.4,1,0.6814,10,High,,,,,,,33
ACC-09230,Loyal Mid-Market,9278.09,140721.91,77.48,1,0.6814,10,High,,,,,,,34
ACC-02251,At-Risk Dormant,3383.42,36616.58,78.95,1,0.6753,10,High,,,,,,,35
ACC-02838,At-Risk Dormant,30883.93,119116.07,70.76,1,0.6753,10,High,,,,,,,36
ACC-05996,At-Risk Dormant,17149.5,132850.5,57.38,1,0.6746,10,High,,,,,,,37
ACC-06587,Growth-Stage Expanding,48324.17,451675.83,74.02,1,0.6746,10,High,,,,,,,38
ACC-07697,Loyal Mid-Market,27683.24,122316.76,75.06,1,0.6746,10,High,,,,,,,39
ACC-04859,High-Value Engaged,354978.7,145021.3,72.41,1,0.6746,10,High,,,,,,,40
ACC-06855,Growth-Stage Expanding,134260.23,365739.77,40.4,1,0.6741,10,High,,,,,,,41
ACC-08077,High-Value Engaged,306403.01,193596.99,66.91,1,0.6741,10,High,,,,,,,42
ACC-07447,At-Risk Dormant,4285.3,35714.7,66.38,1,0.6736,10,High,,,,,,,43
ACC-00245,At-Risk Dormant,10374.69,29625.309999999998,71.0,1,0.6724,10,High,,,,,,,44
ACC-04338,High-Value Engaged,232031.43,267968.57,56.39,1,0.6689,10,High,,,,,,,45
ACC-09201,At-Risk Dormant,22775.96,127224.04000000001,63.88,1,0.6636,10,High,,,,,,,46
ACC-07025,Growth-Stage Expanding,57915.0,442085.0,51.44,1,0.6569,10,High,,,,,,,47
ACC-07587,High-Value Engaged,198536.01,301463.99,53.29,1,0.6569,10,High,,,,,,,48
ACC-07206,Early-Stage Potential,23100.74,126899.26,34.6,1,0.6569,10,High,,,,,,,49
ACC-08921,Loyal Mid-Market,43858.12,106141.88,58.67,1,0.6555,10,High,,,,,,,50
ACC-00741,High-Value Engaged,161107.25,338892.75,67.06,1,0.6542,10,High,peak_feature_adoption,0.3472,arr_utilization,-0.1934,logins_stddev,-0.1791,51
ACC-02159,Loyal Mid-Market,23397.46,126602.54000000001,70.05,1,0.6542,10,High,,,,,,,52
ACC-01807,Growth-Stage Expanding,111541.92,388458.08,55.76,1,0.6542,10,High,,,,,,,53
ACC-00129,Growth-Stage Expanding,96299.81,403700.19,58.06,1,0.6542,10,High,login_growth,-0.3802,num_products,0.3523,arr,0.2652,54
ACC-00099,High-Value Engaged,212404.69,287595.31,52.9,1,0.6474,10,High,,,,,,,55
ACC-02130,Growth-Stage Expanding,191417.47,308582.53,26.44,1,0.647,10,High,,,,,,,56
ACC-06692,High-Value Engaged,249881.28,250118.72,75.09,1,0.6418,10,High,,,,,,,57
ACC-06523,Growth-Stage Expanding,153628.79,346371.20999999996,51.86,1,0.6418,10,High,num_products,0.3379,arr,0.3053,contract_end_days,0.2502,58
ACC-06745,Growth-Stage Expanding,111127.46,388872.54,77.45,1,0.6418,10,High,,,,,,,59
ACC-03391,Growth-Stage Expanding,208779.33,291220.67000000004,59.98,1,0.6418,10,High,,,,,,,60
ACC-06777,At-Risk Dormant,36929.59,113070.41,74.02,1,0.6418,10,High,,,,,,,61
ACC-09279,At-Risk Dormant,13827.89,136172.11,71.93,1,0.6402,10,High,,,,,,,62
ACC-08090,At-Risk Dormant,79538.34,420461.66000000003,50.51,1,0.6402,10,High,contract_end_days,0.3903,max_storage_gb,0.2895,arr,0.2176,63
ACC-06892,Loyal Mid-Market,30483.62,119516.38,73.23,1,0.6402,10,High,,,,,,,64
ACC-09221,At-Risk Dormant,1689.14,18310.86,66.4,1,0.6342,10,High,health_score,0.3378,arr_utilization,0.3252,total_api_calls,-0.2482,65
ACC-07560,At-Risk Dormant,784.36,19215.64,72.86,1,0.6341,10,High,health_score,0.5377,max_storage_gb,0.2596,num_products,0.1883,66
ACC-07968,At-Risk Dormant,2542.37,17457.63,77.24,1,0.6341,10,High,,,,,,,67
ACC-07288,Growth-Stage Expanding,60051.69,439948.31,74.68,1,0.6341,10,High,,,,,,,68
ACC-07927,Loyal Mid-Market,32973.2,117026.8,74.0,1,0.6341,10,High,,,,,,,69
ACC-07418,Loyal Mid-Market,1215.7,18784.3,68.89,1,0.6337,10,High,health_score,0.4799,num_users,0.3751,max_storage_gb,0.2803,70
ACC-02296,Growth-Stage Expanding,56330.16,443669.83999999997,54.07,1,0.632,10,High,,,,,,,71
ACC-03753,At-Risk Dormant,14468.02,25531.98,69.19,1,0.632,10,High,,,,,,,72
ACC-05534,Loyal Mid-Market,34142.13,115857.87,76.97,1,0.632,10,High,,,,,,,73
ACC-09563,High-Value Engaged,196548.41,303451.58999999997,82.28,1,0.6265,10,High,,,,,,,74
ACC-09682,At-Risk Dormant,43520.3,456479.7,46.46,1,0.6246,10,High,,,,,,,75
ACC-03949,Loyal Mid-Market,2789.9,17210.1,79.17,1,0.6246,10,High,,,,,,,76
ACC-06824,At-Risk Dormant,49706.91,450293.08999999997,75.67,1,0.6246,10,High,,,,,,,77
ACC-09583,At-Risk Dormant,16615.49,133384.51,66.26,1,0.6246,10,High,,,,,,,78
ACC-09056,Loyal Mid-Market,1998.24,18001.76,65.97,1,0.6246,10,High,,,,,,,79
ACC-08545,At-Risk Dormant,15571.03,134428.97,64.29,1,0.6246,10,High,,,,,,,80
ACC-07961,Growth-Stage Expanding,143543.67,356456.32999999996,46.38,1,0.6246,10,High,,,,,,,81
ACC-07533,Loyal Mid-Market,47393.36,102606.64,71.98,1,0.6246,10,High,,,,,,,82
